App_ID,user_id,target,classify
2.0,26574,1.0,rejected
22.0,26453,1.0,rejected
24.0,26440,1.0,rejected
34.0,25697,1.0,rejected
78.0,26532,1.0,rejected
85.0,25804,1.0,rejected
89.0,26610,1.0,rejected
100.0,26766,879.9406979999999,v_good
102.0,26120,572.247550883877,v_good
131.0,26646,1.0,rejected
133.0,25669,1.0,rejected
139.0,26374,1.0,rejected
144.0,26176,480.17442274634675,v_good
154.0,25724,1.0,rejected
172.0,25757,1.0,rejected
215.0,1,1.0,rejected
230.0,26818,1.0,rejected
273.0,25927,1.0,rejected
275.0,25822,1.0,rejected
284.0,26592,1.0,rejected
312.0,26406,573.9851111846367,v_good
333.0,25802,1.0,rejected
368.0,26130,1.0,rejected
370.0,25940,1.0,rejected
373.0,26347,1.0,rejected
376.0,26584,695.793896352302,v_good
397.0,26585,406.82145428627615,v_good
431.0,25809,1.0,rejected
432.0,26232,1.0,rejected
466.0,26239,609.5871388560257,v_good
483.0,25516,1.0,rejected
519.0,25705,542.4095278159341,v_good
540.0,26478,334.0752209585121,v_good
565.0,26377,1.0,rejected
598.0,26719,1.0,rejected
599.0,26399,1.0,rejected
601.0,25913,356.2660916795069,v_good
609.0,25431,1.0,rejected
616.0,25900,1.0,rejected
620.0,25784,345.45256958333306,v_good
625.0,26322,587.7223533159097,v_good
642.0,26565,1.0,rejected
643.0,25835,515.7597330076064,v_good
680.0,26416,1.0,rejected
689.0,26801,1.0,rejected
712.0,26288,1.0,rejected
719.0,25807,1.0,rejected
724.0,26672,1.0,rejected
748.0,26173,1.0,rejected
754.0,26608,506.251432156494,v_good
764.0,25994,1.0,rejected
773.0,26480,1.0,rejected
803.0,26778,1.0,rejected
804.0,26210,1.0,rejected
809.0,26341,1.0,rejected
817.0,26115,348.1041638610316,v_good
818.0,26286,1000.0,v_good
833.0,26507,1.0,rejected
848.0,26731,805.28049759355,v_good
858.0,25682,698.8752454573406,v_good
871.0,25871,491.7865040540541,v_good
879.0,26255,1.0,rejected
887.0,26716,464.1943659349957,v_good
903.0,26297,1.0,rejected
907.0,26468,1.0,rejected
910.0,26443,1.0,rejected
913.0,25767,1.0,rejected
932.0,26620,1.0,rejected
941.0,26609,1.0,rejected
943.0,26147,1.0,rejected
961.0,26029,1.0,rejected
998.0,26851,1.0,rejected
1029.0,26879,1.0,rejected
1045.0,26892,504.46134741653964,v_good
1048.0,26895,1.0,rejected
1055.0,26902,1.0,rejected
1062.0,26908,677.137098778955,v_good
1068.0,26919,1.0,rejected
1084.0,26934,830.5247769495411,v_good
1085.0,26935,1.0,rejected
1088.0,26938,1.0,rejected
1103.0,26953,1.0,rejected
1134.0,26984,1.0,rejected
1137.0,26987,1.0,rejected
1165.0,27015,1.0,rejected
1194.0,27043,631.9023977500001,v_good
1235.0,27084,1.0,rejected
1279.0,27129,1.0,rejected
1306.0,27148,1.0,rejected
1308.0,27157,485.22126008831253,v_good
1325.0,27177,1.0,rejected
1345.0,27198,1.0,rejected
1348.0,27201,1.0,rejected
1374.0,27231,1.0,rejected
1382.0,27240,1.0,rejected
1392.0,27249,504.6067091526263,v_good
1401.0,27261,1.0,rejected
1418.0,27279,1.0,rejected
1426.0,27287,966.7386326530614,v_good
1446.0,27307,1.0,rejected
1448.0,27309,1.0,rejected
1459.0,27319,1000.0,v_good
1471.0,27332,1.0,rejected
1541.0,27401,1.0,rejected
1587.0,26629,1.0,rejected
1592.0,27455,1.0,rejected
1608.0,27475,1.0,rejected
1749.0,27622,1.0,rejected
1754.0,27626,1.0,rejected
1755.0,7,1.0,rejected
1824.0,27697,1.0,rejected
1852.0,27725,1.0,rejected
1931.0,27809,1.0,rejected
1947.0,27825,542.9118977113906,v_good
1993.0,27872,1000.0,v_good
2000.0,27879,738.6428588681564,v_good
2004.0,27883,1.0,rejected
2031.0,27910,1.0,rejected
2032.0,27911,547.957450420168,v_good
2044.0,27923,1.0,rejected
2053.0,27932,746.9994441427265,v_good
2131.0,28012,1.0,rejected
2147.0,28028,1.0,rejected
2183.0,28066,570.3038689551116,v_good
2215.0,28098,1.0,rejected
2254.0,28140,1.0,rejected
2264.0,28151,1.0,rejected
2266.0,28153,660.6541543304982,v_good
2294.0,28181,1.0,rejected
2315.0,28204,429.07896262746436,v_good
2334.0,28224,1.0,rejected
2363.0,28254,1.0,rejected
2370.0,28261,427.26894220951374,v_good
2439.0,28327,1000.0,v_good
2446.0,28357,1.0,rejected
2449.0,28360,1.0,rejected
2466.0,28376,1.0,rejected
2483.0,28393,1.0,rejected
2484.0,28394,1.0,rejected
2491.0,28401,1.0,rejected
2508.0,28418,1.0,rejected
2537.0,28453,1.0,rejected
2542.0,28458,999.1433907864316,v_good
2545.0,28461,1.0,rejected
2580.0,28498,1.0,rejected
2597.0,28515,1.0,rejected
2620.0,28537,1.0,rejected
2685.0,28608,1000.0,v_good
2699.0,28624,1.0,rejected
2707.0,28633,697.2675466444658,v_good
2793.0,28724,1.0,rejected
2818.0,28752,1.0,rejected
2849.0,28784,1.0,rejected
2862.0,28799,466.74323262969665,v_good
2867.0,28806,1.0,rejected
2892.0,28831,1000.0,v_good
2907.0,28847,1.0,rejected
2930.0,28873,1.0,rejected
2939.0,28882,588.7622636928703,v_good
3022.0,28970,1.0,rejected
3088.0,29040,798.8315963855423,v_good
3108.0,29061,1.0,rejected
3122.0,29076,1.0,rejected
3155.0,29112,1.0,rejected
3215.0,29174,1000.0,v_good
3250.0,29210,1.0,rejected
3259.0,29218,892.6847221999053,v_good
3281.0,29240,1.0,rejected
3329.0,29291,1.0,rejected
3343.0,29305,902.0878364681076,v_good
3348.0,29310,1.0,rejected
3363.0,29325,1.0,rejected
3465.0,29436,1.0,rejected
3504.0,29474,1.0,rejected
3528.0,29501,1.0,rejected
3539.0,29512,1.0,rejected
3563.0,29538,903.6088411560152,v_good
3586.0,29562,1.0,rejected
3621.0,29601,1.0,rejected
3632.0,29613,882.8583095187806,v_good
3635.0,29615,566.2869359076436,v_good
3639.0,29620,1.0,rejected
3657.0,29640,1.0,rejected
3665.0,29648,885.5300366572803,v_good
3706.0,29691,1.0,rejected
3708.0,29693,1.0,rejected
3734.0,29721,1.0,rejected
3745.0,29732,620.3172691945756,v_good
3803.0,29792,1.0,rejected
3856.0,29846,1.0,rejected
3894.0,29884,540.3358117369652,v_good
3986.0,29984,1.0,rejected
4066.0,30067,1.0,rejected
4069.0,30071,1.0,rejected
4076.0,30081,485.8894949178865,v_good
4101.0,30107,1.0,rejected
4121.0,30127,677.8478157472737,v_good
4136.0,30142,840.324829194026,v_good
4159.0,30165,1.0,rejected
4171.0,30177,1.0,rejected
4187.0,30195,1.0,rejected
4274.0,30286,1.0,rejected
4283.0,30295,900.625930836291,v_good
4329.0,30342,1.0,rejected
4350.0,30364,1.0,rejected
4354.0,30368,1.0,rejected
4360.0,30374,1.0,rejected
4367.0,30380,519.1363613917862,v_good
4383.0,30398,1.0,rejected
4448.0,30469,836.1801108569061,v_good
4457.0,30477,1.0,rejected
4468.0,30488,1.0,rejected
4474.0,30494,1.0,rejected
4491.0,30511,1.0,rejected
4496.0,30516,1.0,rejected
4521.0,30541,631.1536092623368,v_good
4553.0,30575,1.0,rejected
4644.0,30669,1000.0,v_good
4657.0,30682,1.0,rejected
4672.0,30697,1.0,rejected
4710.0,30738,1.0,rejected
4734.0,30761,1.0,rejected
4737.0,30765,1.0,rejected
4745.0,30774,1.0,rejected
4903.0,30936,644.4115405,v_good
4914.0,30948,1.0,rejected
4930.0,30964,1.0,rejected
4977.0,31013,493.68188436268076,v_good
4993.0,31029,920.9244687499998,v_good
5087.0,31127,1.0,rejected
5088.0,31128,1.0,rejected
5111.0,26518,824.2412702308397,v_good
5118.0,31162,710.1103981135486,v_good
5130.0,31175,1.0,rejected
5162.0,31208,564.4996802049511,v_good
5180.0,31227,1.0,rejected
5238.0,31287,1.0,rejected
5278.0,31330,535.5162848799191,v_good
5283.0,31335,1.0,rejected
5327.0,31383,1.0,rejected
5335.0,31391,1.0,rejected
5363.0,31425,1.0,rejected
5381.0,31442,784.5053478844071,v_good
5382.0,31443,1.0,rejected
5464.0,31530,710.3036711045613,v_good
5510.0,31576,1.0,rejected
5519.0,31584,346.06552255639093,v_good
5525.0,31590,1.0,rejected
5532.0,31596,1.0,rejected
5582.0,31653,1.0,rejected
5590.0,31660,955.6581239252494,v_good
5714.0,31792,1.0,rejected
5733.0,31811,1.0,rejected
5784.0,31866,570.97886103053,v_good
5805.0,31889,1.0,rejected
5831.0,31915,700.2503991219511,v_good
5842.0,31928,893.9640739818886,v_good
5846.0,31933,1.0,rejected
5850.0,31937,918.322483,v_good
5878.0,31968,1000.0,v_good
5906.0,31997,1.0,rejected
6033.0,32127,1.0,rejected
6046.0,32141,1.0,rejected
6135.0,32236,512.0329960205746,v_good
6157.0,32260,1.0,rejected
6177.0,32281,489.8890080227697,v_good
6294.0,32408,1.0,rejected
6314.0,32428,1.0,rejected
6319.0,32434,1.0,rejected
6361.0,32477,859.6882739864865,v_good
6428.0,32545,1.0,rejected
6437.0,32554,775.8029819975591,v_good
6467.0,32584,1.0,rejected
6474.0,32593,706.6886594444445,v_good
6485.0,32606,1.0,rejected
6500.0,32621,1.0,rejected
6512.0,32633,1.0,rejected
6537.0,32661,1.0,rejected
6619.0,32746,1.0,rejected
6640.0,32770,413.5657921580185,v_good
6672.0,32802,928.1621795366797,v_good
6806.0,32944,778.5386281561939,v_good
6807.0,32945,764.4316749975486,v_good
6821.0,32960,1.0,rejected
6860.0,33002,628.6720006112429,v_good
6871.0,33014,1.0,rejected
6897.0,33042,1.0,rejected
6934.0,33082,1.0,rejected
6936.0,33083,1000.0,v_good
6999.0,33148,1.0,rejected
7008.0,28310,1000.0,v_good
7048.0,33005,1000.0,v_good
7070.0,33219,1.0,rejected
7092.0,33243,1.0,rejected
7125.0,33279,877.9110667094817,v_good
7150.0,33305,1.0,rejected
7154.0,33310,676.656700681053,v_good
7157.0,33314,398.6281913757915,v_good
7166.0,33323,1.0,rejected
7189.0,33346,1.0,rejected
7195.0,33352,1.0,rejected
7215.0,33373,1.0,rejected
7241.0,33399,1.0,rejected
7246.0,33404,1.0,rejected
7263.0,33422,1.0,rejected
7336.0,33497,1.0,rejected
7409.0,33573,1.0,rejected
7474.0,33641,1.0,rejected
7481.0,33648,1.0,rejected
7505.0,33671,1.0,rejected
7514.0,33682,1.0,rejected
7565.0,33736,327.5434919354839,v_good
7636.0,33808,1.0,rejected
7639.0,33811,807.397175,v_good
7663.0,33836,759.5160938198579,v_good
7676.0,33849,1.0,rejected
7692.0,33868,624.9452207187649,v_good
7722.0,33899,1.0,rejected
7725.0,33902,605.4594288888889,v_good
7745.0,33923,1.0,rejected
7747.0,33925,1.0,rejected
7780.0,33961,1.0,rejected
7799.0,33982,1.0,rejected
7805.0,33988,1.0,rejected
7813.0,33998,1.0,rejected
7821.0,34007,628.4277480615506,v_good
7858.0,34049,680.671690703213,v_good
7915.0,34111,480.5986974759238,v_good
7919.0,34116,508.930317346631,v_good
7928.0,34125,1000.0,v_good
7959.0,34158,1.0,rejected
7961.0,34160,1.0,rejected
7986.0,34186,541.7882258801864,v_good
7988.0,34188,868.6758177674335,v_good
7992.0,34192,1.0,rejected
8004.0,34203,1.0,rejected
8065.0,34265,1.0,rejected
8106.0,34307,1000.0,v_good
8149.0,34353,1.0,rejected
8164.0,34368,1.0,rejected
8166.0,34370,856.1925739314094,v_good
8203.0,34410,1.0,rejected
8211.0,34419,1000.0,v_good
8219.0,34427,1.0,rejected
8278.0,34490,1.0,rejected
8301.0,34515,1.0,rejected
8311.0,34525,732.4827324896428,v_good
8445.0,34663,1.0,rejected
8480.0,34699,1000.0,v_good
8512.0,34733,1.0,rejected
8538.0,34758,433.02025,v_good
8547.0,34767,1.0,rejected
8594.0,34817,829.8928588888889,v_good
8606.0,34829,501.18676482617997,v_good
8625.0,34851,373.90029240921996,v_good
8629.0,34854,1.0,rejected
8663.0,34891,1.0,rejected
8676.0,34904,1.0,rejected
8687.0,34915,461.1895257326981,v_good
8733.0,34962,620.1788341666667,v_good
8737.0,34966,1.0,rejected
8757.0,34987,1.0,rejected
8767.0,34996,854.980410733681,v_good
8788.0,35017,1.0,rejected
8817.0,35047,770.7446215139441,v_good
8822.0,35052,1.0,rejected
8846.0,35077,1.0,rejected
8871.0,35103,1.0,rejected
8897.0,35135,639.8907227521717,v_good
8901.0,35139,1000.0,v_good
8977.0,35220,1.0,rejected
8984.0,35225,905.8861238151658,v_good
8994.0,35239,1.0,rejected
9028.0,35274,1.0,rejected
9034.0,35280,1.0,rejected
9040.0,35286,784.8533139546279,v_good
9059.0,35305,534.7749236808718,v_good
9066.0,35313,785.5109967685871,v_good
9088.0,35342,1.0,rejected
9113.0,35369,1.0,rejected
9115.0,35371,1000.0,v_good
9160.0,35420,1.0,rejected
9167.0,35428,1.0,rejected
9201.0,35471,1.0,rejected
9223.0,35494,764.6507947752386,v_good
9224.0,35495,463.37017543859645,v_good
9258.0,35531,446.72712675897293,v_good
9274.0,35547,1.0,rejected
9279.0,35553,1.0,rejected
9287.0,35560,1.0,rejected
9305.0,35579,1.0,rejected
9357.0,35632,1.0,rejected
